,elections,happy,location_0,location_1,location_2,location_3,location_total,seg_agents,total_0,total_1,total_2,total_3,run,cnt
41,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",385,"[8, 13, 104, 15, 9, 71, 7, 14, 15]","[69, 40, 2, 18, 15, 1, 77, 14, 11]","[7, 8, 1, 21, 22, 14, 6, 30, 21]","[6, 11, 4, 16, 19, 11, 9, 18, 30]","[90, 72, 111, 70, 65, 97, 99, 76, 77]",251,256,247,130,124,1,UK
42,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",382,"[9, 15, 104, 9, 13, 74, 10, 13, 9]","[66, 45, 1, 13, 20, 5, 75, 10, 12]","[6, 6, 3, 17, 18, 11, 7, 38, 24]","[14, 12, 5, 18, 21, 7, 5, 19, 23]","[95, 78, 113, 57, 72, 97, 97, 80, 68]",248,256,247,130,124,1,UK
43,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",382,"[12, 8, 103, 19, 19, 72, 6, 9, 8]","[68, 40, 2, 12, 14, 8, 76, 10, 17]","[8, 12, 6, 20, 13, 7, 5, 29, 30]","[4, 18, 3, 16, 21, 10, 10, 19, 23]","[92, 78, 114, 67, 67, 97, 97, 67, 78]",239,256,247,130,124,1,UK
44,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",375,"[6, 9, 105, 20, 14, 74, 6, 13, 9]","[70, 46, 1, 12, 16, 5, 79, 9, 9]","[12, 11, 2, 9, 17, 5, 8, 37, 29]","[8, 21, 2, 16, 15, 8, 8, 21, 25]","[96, 87, 110, 57, 62, 92, 101, 80, 72]",250,256,247,130,124,1,UK
45,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",389,"[5, 8, 107, 13, 14, 72, 9, 12, 16]","[71, 45, 2, 10, 19, 4, 79, 9, 8]","[8, 18, 3, 20, 10, 6, 6, 28, 31]","[9, 9, 2, 18, 20, 13, 6, 15, 32]","[93, 80, 114, 61, 63, 95, 100, 64, 87]",271,256,247,130,124,1,UK
46,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",394,"[3, 14, 105, 17, 21, 72, 4, 12, 8]","[69, 45, 0, 12, 11, 5, 81, 15, 9]","[8, 7, 1, 22, 14, 9, 8, 30, 31]","[12, 9, 9, 23, 21, 10, 3, 18, 19]","[92, 75, 115, 74, 67, 96, 96, 75, 67]",256,256,247,130,124,1,UK
47,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",399,"[8, 11, 103, 15, 10, 74, 7, 16, 12]","[75, 37, 2, 10, 12, 5, 84, 8, 14]","[8, 7, 3, 19, 14, 8, 5, 35, 31]","[10, 13, 2, 20, 26, 8, 2, 23, 20]","[101, 68, 110, 64, 62, 95, 98, 82, 77]",282,256,247,130,124,1,UK
48,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",410,"[6, 11, 104, 12, 19, 74, 4, 12, 14]","[72, 40, 1, 17, 14, 1, 85, 6, 11]","[10, 11, 1, 19, 12, 5, 8, 36, 28]","[10, 18, 5, 23, 20, 7, 4, 18, 19]","[98, 80, 111, 71, 65, 87, 101, 72, 72]",288,256,247,130,124,1,UK
49,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",411,"[4, 12, 104, 16, 18, 77, 5, 8, 12]","[77, 40, 0, 9, 11, 3, 82, 12, 13]","[4, 10, 6, 12, 17, 7, 6, 39, 29]","[9, 15, 5, 18, 28, 9, 4, 25, 11]","[94, 77, 115, 55, 74, 96, 97, 84, 65]",279,256,247,130,124,1,UK
50,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",424,"[8, 11, 105, 14, 12, 73, 6, 9, 18]","[73, 45, 0, 6, 13, 9, 85, 5, 11]","[7, 9, 3, 16, 8, 8, 4, 47, 28]","[9, 18, 3, 16, 24, 11, 4, 20, 19]","[97, 83, 111, 52, 57, 101, 99, 81, 76]",287,256,247,130,124,1,UK
51,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",437,"[3, 14, 105, 18, 17, 74, 7, 6, 12]","[74, 44, 2, 7, 13, 8, 84, 8, 7]","[9, 15, 1, 14, 8, 4, 5, 41, 33]","[6, 11, 3, 24, 19, 7, 5, 32, 17]","[92, 84, 111, 63, 57, 93, 101, 87, 69]",292,256,247,130,124,1,UK
